feature,importance
popularity,0.5566552537885023
runtime,0.10063266236802151
missingindicator_budget,0.048551142479058416
movie_age,0.046811192275131294
release_year,0.04645691801086944
has_budget,0.04605098744278758
budget,0.04276021858307352
main_genre_Unknown,0.00908459545486839
is_english,0.008056392180918014
main_genre_Horror,0.00798716403758781
original_language_en,0.007927402864980192
main_genre_Animation,0.007911460147413226
main_genre_Comedy,0.007510144783000085
main_genre_Documentary,0.0072328932685749876
main_genre_Drama,0.007096472387200317
